run,model,data_spec,prior_spec,constraint_spec,n_transform,competition_measurement_frequency,kappa_mean,kappa_ci_2.5,kappa_ci_97.5,kappa_0_mean,kappa_0_ci_2.5,kappa_0_ci_97.5,delta_mean,delta_ci_2.5,delta_ci_97.5,kappa_t_overall_mean,kappa_t_start_mean,kappa_t_end_mean
hsa_dynamic_unemployment_gap_core_baseline_20260709_160643,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03310905359040118,-0.0024520267905355883,0.06820093119323639,,,,,,,,,
hsa_dynamic_unemployment_gap_core_baseline_annual_q4_20260709_145936,hsa_dynamic,unemployment_gap_core,baseline,unrestricted,log100_centered10,annual_q4,0.040231839500638585,0.008016494204008134,0.07178225853900515,,,,,,,,,
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_20260709_151929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa,log100_centered10,quarterly_interpolated,0.03432785551308064,0.0052817425633491346,0.06831861133495597,,,,,,,,,
hsa_dynamic_unemployment_gap_core_baseline_restricted_kappa_t_20260709_153929,hsa_dynamic,unemployment_gap_core,baseline,restricted_kappa_t,log100_centered10,quarterly_interpolated,0.03310905359040118,-0.0024520267905355883,0.06820093119323639,,,,,,,,,
hsa_dynamic_unemployment_gap_core_end_2019_baseline_20260709_172645,hsa_dynamic,unemployment_gap_core_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03276453501302595,-0.0021650540905117036,0.067958986617635,,,,,,,,,
hsa_dynamic_unemployment_gap_core_exclude_covid_baseline_20260709_172019,hsa_dynamic,unemployment_gap_core_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03263861018086715,-0.002406543002561119,0.0672425288523592,,,,,,,,,
hsa_dynamic_unemployment_gap_core_full_baseline_20260709_171315,hsa_dynamic,unemployment_gap_core_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.03310905359040118,-0.0024520267905355883,0.06820093119323639,,,,,,,,,
hsa_dynamic_unemployment_gap_core_post_2008_baseline_20260709_171945,hsa_dynamic,unemployment_gap_core_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.0023341337211530235,-0.06323066574752984,0.06915168598595055,,,,,,,,,
hsa_dynamic_unemployment_gap_core_pre_2008_baseline_20260709_171647,hsa_dynamic,unemployment_gap_core_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.10976509788905517,0.04640207864081293,0.17720337109170012,,,,,,,,,
hsa_dynamic_unemployment_gap_core_start_1988_baseline_20260709_172351,hsa_dynamic,unemployment_gap_core_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.008924993422053744,-0.02598720294478131,0.041528853734664535,,,,,,,,,
hsa_dynamic_unemployment_gap_end_2019_baseline_20260623_035352,hsa_dynamic,unemployment_gap_end_2019,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.07589357177238476,-0.022388002190870063,0.18695527978687224,,,,,,,,,
hsa_dynamic_unemployment_gap_exclude_covid_baseline_20260623_034730,hsa_dynamic,unemployment_gap_exclude_covid,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08091907782987859,-0.013620708960374756,0.18972853549149385,,,,,,,,,
hsa_dynamic_unemployment_gap_full_baseline_20260623_034032,hsa_dynamic,unemployment_gap_full,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.08492384514261406,-0.011310956026870038,0.1913031656299331,,,,,,,,,
hsa_dynamic_unemployment_gap_post_2008_baseline_20260623_034656,hsa_dynamic,unemployment_gap_post_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,-0.022202548601811204,-0.13340450676897367,0.08601982813473585,,,,,,,,,
hsa_dynamic_unemployment_gap_pre_2008_baseline_20260623_034402,hsa_dynamic,unemployment_gap_pre_2008,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.1802884459937905,0.07451645136534604,0.290392856747024,,,,,,,,,
hsa_dynamic_unemployment_gap_start_1988_baseline_20260623_035101,hsa_dynamic,unemployment_gap_start_1988,baseline,unrestricted,log100_centered10,quarterly_interpolated,0.0001902926148351569,-0.07418263375013989,0.08386339805013691,,,,,,,,,
